# title_id|version|game|label|status|method|source|payload|note|delay_seconds
BLUS30443|*|Demons Souls|Motion Blur|untested|ncl|Nascar1243 / Graphics Patches for PS3MAPI PDF|0 00217E7C 41|Imported from Nascar1243 / Graphics Patches for PS3MAPI PDF. Game: Demons Souls. Not confirmed by PSUF on real hardware. Original values in source: 00217E7C was 40.|120
BLUS30721|01.02|Asura's Wrath|Bloom|untested|ncl|Nascar1243 / Graphics Patches for PS3MAPI PDF|0 003BA264 38C00000;0 0011AE5C 38C00000|Imported from Nascar1243 / Graphics Patches for PS3MAPI PDF. Game: Asura's Wrath. Not confirmed by PSUF on real hardware. Original values in source: 003BA264 was 80C50048, 0011AE5C was 80C50048.|120
BLUS30721|01.02|Asura's Wrath|Motion Blur|untested|ncl|Nascar1243 / Graphics Patches for PS3MAPI PDF|0 0067A908 60000000;0 0067A940 38600000|Imported from Nascar1243 / Graphics Patches for PS3MAPI PDF. Game: Asura's Wrath. Not confirmed by PSUF on real hardware. Original values in source: 0067A908 was 4BFFF6F1, 0067A940 was 807F0020.|120
BLUS30721|01.02|Asura's Wrath|Depth of Field|untested|ncl|Nascar1243 / Graphics Patches for PS3MAPI PDF|0 0031CB10 38A00000;0 003BA270 38A00000|Imported from Nascar1243 / Graphics Patches for PS3MAPI PDF. Game: Asura's Wrath. Not confirmed by PSUF on real hardware. Original values in source: 0031CB10 was 80A50040, 003BA270 was 80A50040. Incomplete source line omitted: 0011AE68 had original 80A50040 but no new value in pasted PDF text.|120
BLUS31197|01.01|Drakengard 3|Depth of Field|untested|ncl|Nascar1243 / Graphics Patches for PS3MAPI PDF|0 00A5455C 38800000|Imported from Nascar1243 / Graphics Patches for PS3MAPI PDF. Game: Drakengard 3. Not confirmed by PSUF on real hardware.|120
BLUS30917|*|Lollipop Chainsaw|Depth of Field|untested|ncl|Nascar1243 / Graphics Patches for PS3MAPI PDF|0 0016C1B4 38A00000;0 00326F6C 38A00000;0 00408498 38A00000|Imported from Nascar1243 / Graphics Patches for PS3MAPI PDF. Game: Lollipop Chainsaw. Not confirmed by PSUF on real hardware. Original values in source: 0016C1B4 was 80A5003C, 00326F6C was 80A5003C, 00408498 was 80A5003C.|120
BLUS30917|*|Lollipop Chainsaw|Bloom|untested|ncl|Nascar1243 / Graphics Patches for PS3MAPI PDF|0 0016C1A8 38C00000;0 0040848C 38C00000|Imported from Nascar1243 / Graphics Patches for PS3MAPI PDF. Game: Lollipop Chainsaw. Not confirmed by PSUF on real hardware. Original values in source: 0016C1A8 was 80C50044, 0040848C was 80C50044.|120
BLUS31162|01.20|Battlefield 4|Disable MLAA / visual performance mode|untested|ncl|RPCS3 community|0 0094EC04 38600000|Visual performance patch. This does not unlock FPS; it disables MLAA/visual processing and belongs in the graphics/extra menu.|120
BLES01587|02.00|Batman Arkham City GOTY|Debug Menu / disable VSync|untested|ncl|PSXPlace / Joey85|0 00E36504 38600000|Debug menu code. Use R1+Start in game, then disable VSync there to unlock the framerate. Not a direct FPS write; test carefully.|120
BLUS30978|01.01|Batman Arkham City GOTY|Debug Menu / disable VSync|untested|ncl|PSXPlace / Joey85|0 00E36504 38600000|Debug menu code. Use R1+Start in game, then disable VSync there to unlock the framerate. Not a direct FPS write; test carefully.|120
BLUS31147|01.06|Batman Arkham Origins|Debug Menu / disable VSync|untested|ncl|PSXPlace / Joey85|0 00F249F0 38600000|Debug menu code. Use R1+Start in game, then disable VSync there to unlock the framerate. Source lists this around v01.06/1.60, so keep as test only.|120
BLUS31207|01.06|Batman Arkham Origins|Debug Menu / disable VSync|untested|ncl|PSXPlace / Joey85|0 00F249F0 38600000|Debug menu code. Use R1+Start in game, then disable VSync there to unlock the framerate. Source lists this around v01.06/1.60, so keep as test only.|120
BLUS30917|*|Lollipop Chainsaw|Image Grain|untested|ncl|Nascar1243 / Graphics Patches for PS3MAPI PDF|0 00408690 4800|Imported from Nascar1243 / Graphics Patches for PS3MAPI PDF. Game: Lollipop Chainsaw. Not confirmed by PSUF on real hardware. Original values in source: 00408690 was 4182.|120
BCUS98213|01.09|Uncharted 2|Depth of Field|untested|ncl|Nascar1243 / Graphics Patches for PS3MAPI PDF|0 00E9C251 0000000000|Imported from Nascar1243 / Graphics Patches for PS3MAPI PDF. Game: Uncharted 2. Not confirmed by PSUF on real hardware.|120
BCUS98213|01.09|Uncharted 2|Enable Bloom|untested|ncl|Nascar1243 / Graphics Patches for PS3MAPI PDF|0 00E9C268 0100000000|Imported from Nascar1243 / Graphics Patches for PS3MAPI PDF. Game: Uncharted 2. Not confirmed by PSUF on real hardware.|120
BCUS98213|01.09|Uncharted 2|Lighting Effects|untested|ncl|Nascar1243 / Graphics Patches for PS3MAPI PDF|0 00E9C564 00010000|Imported from Nascar1243 / Graphics Patches for PS3MAPI PDF. Game: Uncharted 2. Not confirmed by PSUF on real hardware.|120
BCUS98213|01.09|Uncharted 2|Mesh Trimming|untested|ncl|Nascar1243 / Graphics Patches for PS3MAPI PDF|0 00F98FD0 0000000000|Imported from Nascar1243 / Graphics Patches for PS3MAPI PDF. Game: Uncharted 2. Not confirmed by PSUF on real hardware.|120
BCUS98213|01.09|Uncharted 2|Motion Blur|untested|ncl|Nascar1243 / Graphics Patches for PS3MAPI PDF|0 00E9C24F 00010000|Imported from Nascar1243 / Graphics Patches for PS3MAPI PDF. Game: Uncharted 2. Not confirmed by PSUF on real hardware.|120
BCUS98213|01.09|Uncharted 2|Velocity Motion Blur|untested|ncl|Nascar1243 / Graphics Patches for PS3MAPI PDF|0 00E9C494 00000000|Imported from Nascar1243 / Graphics Patches for PS3MAPI PDF. Game: Uncharted 2. Not confirmed by PSUF on real hardware.|120
BLUS98111|01.03|God of War III|Depth of Field|untested|ncl|Nascar1243 / Graphics Patches for PS3MAPI PDF|0 001C14AC 38000000|Imported from Nascar1243 / Graphics Patches for PS3MAPI PDF. Game: God of War III. Not confirmed by PSUF on real hardware. Original values in source: 001C14AC was 801D0010.|120
BLUS98111|01.03|God of War III|Motion Blur|untested|ncl|Nascar1243 / Graphics Patches for PS3MAPI PDF|0 001C57E4 38000000|Imported from Nascar1243 / Graphics Patches for PS3MAPI PDF. Game: God of War III. Not confirmed by PSUF on real hardware. Original values in source: 001C57E4 was 801F0010.|120
BLUS98111|01.03|God of War III|Color Grading|untested|ncl|Nascar1243 / Graphics Patches for PS3MAPI PDF|0 0052BDA3 00|Imported from Nascar1243 / Graphics Patches for PS3MAPI PDF. Game: God of War III. Not confirmed by PSUF on real hardware. Original values in source: 0052BDA3 was 01.|120
BLUS98111|01.03|God of War III|Disable Layered Fog|untested|ncl|Nascar1243 / Graphics Patches for PS3MAPI PDF|0 00296A90 38000000;0 00296BD4 38000000|Imported from Nascar1243 / Graphics Patches for PS3MAPI PDF. Game: God of War III. Not confirmed by PSUF on real hardware. Original values in source: 00296A90 was 801C0010, 00296BD4 was 801C0010.|120
BLUS98111|01.03|God of War III|Bloom|untested|ncl|Nascar1243 / Graphics Patches for PS3MAPI PDF|0 00231288 60000000|Imported from Nascar1243 / Graphics Patches for PS3MAPI PDF. Game: God of War III. Not confirmed by PSUF on real hardware. Original values in source: 00231288 was 4BFFF9C5.|120
BLUS98111|01.03|God of War III|Camera Sway Disable|untested|ncl|Nascar1243 / Graphics Patches for PS3MAPI PDF|0 0015D29C 38000000|Imported from Nascar1243 / Graphics Patches for PS3MAPI PDF. Game: God of War III. Not confirmed by PSUF on real hardware. Original values in source: 0015D29C was 801F0010.|120
BCUS98232|01.12|God of War Ascension|Disable Depth of Field|untested|ncl|Nascar1243 / Graphics Patches for PS3MAPI PDF|0 0043BCBC 38A00000|Imported from Nascar1243 / Graphics Patches for PS3MAPI PDF. Game: God of War Ascension. Not confirmed by PSUF on real hardware.|120
BCUS98232|01.12|God of War Ascension|Disable Motion Blur|untested|ncl|Nascar1243 / Graphics Patches for PS3MAPI PDF|0 0043F210 38A00000|Imported from Nascar1243 / Graphics Patches for PS3MAPI PDF. Game: God of War Ascension. Not confirmed by PSUF on real hardware.|120
BCUS98362|01.26|LittleBigPlanet 3|Disable Motion Blur|untested|ncl|Nascar1243 / Graphics Patches for PS3MAPI PDF|0 00EE76B4 00;0 0039C028 60000000;0 0039C12C 60000000|Imported from Nascar1243 / Graphics Patches for PS3MAPI PDF. Game: LittleBigPlanet 3. Not confirmed by PSUF on real hardware. Original values in source: 00EE76B4 was 01, 0039C028 was 4BFE6E59, 0039C12C was 4BFE6D55.|120
